"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2026-01-04,2026-01-12,"Ad 3 - Product Preview - Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",,,84,114,,-,-,-,1.95,Ongoing
2026-01-04,2026-01-12,"Ad 2 - Social Proof - JD Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,5506,6686,76.46,-,-,-,76.46,Ongoing
2026-01-04,2026-01-12,"Direct Action Video - Book - Risk-Free",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",,,308,384,,-,-,-,5.2,Ongoing
2026-01-04,2026-01-12,"Ad 1 - Founder - Group Photo",inactive,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",,,63,66,,-,-,-,1.13,Ongoing
