"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking",Ends,"Campaign name","Amount spent (USD)",Results,"Result indicator",Reach,Impressions,"Cost per results","Link clicks","Landing page views rate per link clicks","Engaged User (25% Scroll)","Submitted Trial Booking Form","Unique CTR (link click-through rate)",HighEngagement,Purchases,"In-app purchases","Website purchases","Offline purchases","Meta purchases","Result rate","Clicks (all)","CTR (all)","CPC (all) (USD)",Views,"Page engagement","Cost per post engagement (USD)","Instagram profile visits",Leads,"Website leads","Offline leads","Meta leads","Post reactions","Post shares","Post saves","Cost per like (USD)","Cost per unique click (all) (USD)","CTR (link click-through rate)","Post comments",FormProgression,"Submitted Lesson Application","Custom events","In-app custom events"
2025-12-16,2026-01-04,"Ad 3 - Product Preview - Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2025-12-15T06:28:35-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",3.88,,,161,241,,2,50,,,1.242236,,,,,,,,12,4.979253,0.323333,248,52,0.074615,0,,,,,2,,,,0.352727,0.829876,,,,,
2025-12-16,2026-01-04,"Ad 2 - Social Proof - JD Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2025-12-15T06:28:35-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",17.05,1,actions:offsite_conversion.fb_pixel_purchase,1014,1361,17.05,46,54.347826,25,,3.944773,4,1,,1,,,0.07347539,122,8.963997,0.139754,1240,521,0.032852,0,,,,,11,,,8.525,0.185326,3.379868,,,,,
2025-12-16,2026-01-04,"Direct Action Video - Book - Risk-Free",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2025-12-15T06:28:35-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",3.94,,,227,318,,4,75,3,,1.762115,1,,,,,,,12,3.773585,0.328333,296,86,0.045814,0,,,,,3,,,,0.394,1.257862,,,,,
2025-12-16,2026-01-04,"Ad 1 - Founder - Group Photo",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2025-12-15T06:28:35-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",160.72,2,actions:offsite_conversion.fb_pixel_purchase,9214,12658,80.36,217,35.9447,88,,2.214022,24,2,,2,,,0.01580028,806,6.367515,0.199404,12823,694,0.235315,0,,,,,69,9,12,14.610909,0.249953,1.714331,7,,,,
