"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking",Ends,"Campaign name","Amount spent (USD)",Results,"Result indicator",Reach,Impressions,"Cost per results","Link clicks","Landing page views rate per link clicks","Engaged User (25% Scroll)","Submitted Trial Booking Form","Unique CTR (link click-through rate)",HighEngagement,Purchases,"In-app purchases","Website purchases","Offline purchases","Meta purchases","Result rate","Clicks (all)","CTR (all)","CPC (all) (USD)",Views,"Page engagement","Cost per post engagement (USD)","Instagram profile visits",Leads,"Website leads","Offline leads","Meta leads","Post reactions","Post shares","Post saves","Cost per like (USD)","Cost per unique click (all) (USD)","CTR (link click-through rate)","Post comments",FormProgression,"Submitted Lesson Application","Custom events","In-app custom events"
2026-01-13,2026-01-19,"Ad 3 - Product Preview - Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.26,,,24,24,,,0,,,0,,,,,,,,0,0,0,27,4,0.065,0,,,,,,,,,0,,,,,,
2026-01-13,2026-01-19,"Ad 2 - Social Proof - JD Video",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",33.71,,,2460,2859,,65,38.461538,19,,2.560976,1,,,,,,,198,6.925498,0.170253,2387,903,0.037414,7,,,,,14,3,2,16.855,0.195988,2.273522,1,,,,
2026-01-13,2026-01-19,"Direct Action Video - Book - Risk-Free",active,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.27,,,30,30,,,0,,,0,,,,,,,,1,3.333333,0.27,24,9,0.03,0,,,,,1,,,,0.27,,,,,,
2026-01-13,2026-01-19,"Ad 1 - Founder - Group Photo",inactive,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,-,-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0,,,0,0,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2026-01-13,2026-01-19,"Ad 1 - Founder - Group Photo",inactive,"FB Feed - Buyers LAL 1% - US, UK - V3 Landing Page Test.",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,-,-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0,,,0,0,,,0,,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,,,,,,
2026-01-13,2026-01-19,"Ad 3 - Product Preview - Video",active,"FB Feed - Buyers LAL 1% - US, UK - V3 Landing Page Test.",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",0.6,,,54,63,,,0,,,0,,,,,,,,1,1.587302,0.6,74,14,0.042857,1,,,,,,,,,0.6,,,,,,
2026-01-13,2026-01-19,"Ad 2 - Social Proof - JD Video",active,"FB Feed - Buyers LAL 1% - US, UK - V3 Landing Page Test.",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",30.59,,,2194,2369,,59,28.813559,19,,2.461258,1,,,,,,,194,8.189109,0.15768,2024,780,0.039369,6,,,,,8,1,1,10.196667,0.185394,2.490502,,,,,
2026-01-13,2026-01-19,"Direct Action Video - Book - Risk-Free",active,"FB Feed - Buyers LAL 1% - US, UK - V3 Landing Page Test.",0,ABSOLUTE_OCPM,5,Daily,2026-01-19T00:30:05-0800,"7-day click, 1-day view, or 1-day engaged-view",-,-,-,Ongoing,"Meta - Sales - V2 Spearhead - Nov 2025",2.38,,,176,185,,1,0,,,0.568182,,,,,,,,3,1.621622,0.793333,183,46,0.051739,0,,,,,1,,,,0.793333,0.540541,,,,,
