"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2025-11-24,2026-01-12,"Ad 3 - Product Preview - Video",not_delivering,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",,,1036,1159,,-,-,-,14.78,Ongoing
2025-11-24,2026-01-12,"Ad 2 - Social Proof - JD Video",not_delivering,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,7475,9294,52.045,-,-,-,104.09,Ongoing
2025-11-24,2026-01-12,"Direct Action Video - Book - Risk-Free",not_delivering,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",,,1266,1483,,-,-,-,19.59,Ongoing
2025-11-24,2026-01-12,"Ad 1 - Founder - Group Photo",inactive,"FB Feed - Buyers LAL 1% - US, UK",0,ABSOLUTE_OCPM,10,Daily,2026-01-04T04:55:04-0800,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,12331,16704,67.67333333,-,-,-,203.02,Ongoing
