"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends,"Campaign name","Clicks (all)","CTR (all)","CPC (all) (USD)",Views,"Landing page views rate per link clicks","Page engagement","Cost per post engagement (USD)","Link clicks","Instagram profile visits",Leads,"Website leads","Offline leads","Meta Leads","Result rate","Post reactions","Post shares","Post saves","Cost per Like (USD)","Cost per unique click (all) (USD)","CTR (link click-through rate)","Unique CTR (link click-through rate)","Post comments",FormProgression,"Submitted Lesson Application","Custom events","In-app custom events",HighEngagement
2025-10-20,2025-11-01,"Direct Action Video - Reserve",active,"Buyers LAL 1% - Direct Action Creatives - Submit Event",0,ABSOLUTE_OCPM,5,Daily,2025-10-22T07:46:09-0700,"7-day click or 1-day view",4,actions:offsite_conversion.custom.3142333482744959,4028,7148,21.0475,-,-,-,84.19,Ongoing,"System Test - Goal - Leads - Oct 2025",63,0.881365,1.336349,7177,58.333333,907,0.092822,36,25,1,1,,,0.05595971,12,,2,,1.477018,0.503637,0.794439,,2,4,,,2
2025-10-20,2025-11-01,"Direct Action Carousel - Reserve",inactive,"Buyers LAL 1% - Direct Action Creatives - Submit Event",0,ABSOLUTE_OCPM,5,Daily,2025-10-22T07:46:09-0700,-,,,0,0,,-,-,-,0,Ongoing,"System Test - Goal - Leads - Oct 2025",0,0,0,0,0,,,,0,,,,,,,,,,0,,0,,,,,,
2025-10-20,2025-11-01,"Direct Action Carousel - Reserve",inactive,"Website LAL 1% - Direct Action Creatives - Submit Event",0,ABSOLUTE_OCPM,5,Daily,2025-10-24T05:09:41-0700,-,,,0,0,,-,-,-,0,Ongoing,"System Test - Goal - Leads - Oct 2025",0,0,0,0,0,,,,0,,,,,,,,,,0,,0,,,,,,
2025-10-20,2025-11-01,"Direct Action Video - Reserve",active,"Website LAL 1% - Direct Action Creatives - Submit Event",0,ABSOLUTE_OCPM,5,Daily,2025-10-24T05:09:41-0700,"7-day click or 1-day view",3,actions:offsite_conversion.custom.3142333482744959,3662,5730,19.18,-,-,-,57.54,Ongoing,"System Test - Goal - Leads - Oct 2025",80,1.396161,0.71925,5932,47.727273,960,0.06,44,37,2,2,,,0.05235602,12,2,2,57.54,0.871818,0.767888,0.983069,,,3,,,2
